,state,county,parameter,county_code,site_number,parameter_code,year,observation_count,exceptional_data_count,null_observation_count,arithmetic_mean,standard_deviation
0,AL,Baldwin,Ozone,3.0,10.0,44201.0,2014.0,5176.85,0.0,120.2,0.04164105,0.012011249999999998
1,AL,Baldwin,PM2.5 - Local Conditions,3.0,10.0,88101.0,2014.0,116.8,0.0,5.2,8.4698946,3.4314197999999996
2,AL,Clay,PM2.5 - Local Conditions,27.0,1.0,88101.0,2014.0,116.2,0.0,6.2,8.291026399999998,3.646927799999998
3,AL,Colbert,Ozone,33.0,1002.0,44201.0,2014.0,5335.7,0.0,76.6,0.0411345,0.0106847
4,AL,Colbert,PM2.5 - Local Conditions,33.0,1002.0,88101.0,2014.0,118.6,0.0,3.4,8.589856,3.8360459999999996
5,AL,DeKalb,Ozone,49.0,9991.0,44201.0,2014.0,7877.45,0.0,116.85,0.04497009999999999,0.009932149999999999
6,AL,DeKalb,PM2.5 - Local Conditions,49.0,1003.0,88101.0,2014.0,114.0,0.0,7.8,8.929632800000002,3.8133407999999998
7,AL,Elmore,Ozone,51.0,1.0,44201.0,2014.0,4766.95,0.0,75.05,0.0415552,0.010263650000000003
8,AL,Etowah,Ozone,55.0,11.0,44201.0,2014.0,5257.5,0.0,97.35,0.042401499999999995,0.010021650000000002
9,AL,Etowah,PM2.5 - Local Conditions,55.0,10.0,88101.0,2014.0,113.8,0.0,8.0,9.0994916,3.5463803999999994
10,AL,Houston,Ozone,69.0,4.0,44201.0,2014.0,5324.65,0.0,82.6,0.03952190000000001,0.0108103
11,AL,Houston,PM2.5 - Local Conditions,69.0,3.0,88101.0,2014.0,117.8,0.0,4.0,8.028497000000002,3.2316364
12,AL,Jefferson,Carbon monoxide,73.0,1862.0526315789473,42101.0,2013.8947368421052,7948.0,0.0,385.7631578947368,0.35724110526315783,0.20510621052631578
13,AL,Jefferson,Lead PM10 LC FRM/FEM,73.0,23.0,85129.0,2014.0,53.9,0.0,1.2,0.0138807,0.026307800000000003
14,AL,Jefferson,Nitrogen dioxide (NO2),73.0,895.5714285714286,42602.0,2014.7142857142858,6603.714285714285,0.0,1018.0,18.346102428571424,9.777275857142856
15,AL,Jefferson,Ozone,73.0,2331.6486486486488,44201.0,2013.8918918918919,5619.195945945946,0.0,117.37837837837837,0.043833722972972965,0.01163208783783784
16,AL,Jefferson,PM10 Total 0-10um STP,73.0,2866.059523809524,81102.0,2014.1190476190477,2304.464285714286,712.8333333333334,186.71428571428572,19.02240414285714,10.789991190476194
17,AL,Jefferson,PM2.5 - Local Conditions,73.0,1242.6842105263158,88101.0,2014.1052631578948,333.3859649122807,232.85087719298247,69.46491228070175,10.615215912280727,4.412237666666663
18,AL,Jefferson,Sulfur dioxide,73.0,513.0,42401.0,2014.0,4518.675,0.0,563.45,2.2210722249999995,2.7893489500000004
19,AL,Limestone,Lead (TSP) LC,83.0,5.0,14129.0,2012.0,58.0,0.0,4.0,0.006362,0.006212
20,AL,Madison,Ozone,89.0,18.0,44201.0,2014.0,5410.875,0.0,20.85,0.045290125,0.010008149999999999
21,AL,Madison,PM10 Total 0-10um STP,89.0,6.142857142857143,81102.0,2014.095238095238,102.33333333333333,57.333333333333336,3.761904761904762,14.974111333333337,7.104990428571429
22,AL,Madison,PM2.5 - Local Conditions,89.0,14.0,88101.0,2014.4285714285713,100.57142857142857,0.0,3.857142857142857,8.410253571428571,3.921983714285713
23,AL,Mobile,Ozone,97.0,1004.0,44201.0,2014.0,5092.075,0.0,141.85,0.04089470000000002,0.011861
24,AL,Mobile,PM10 Total 0-10um STP,97.0,16.0,81102.0,2013.0,44.0,0.0,17.5,18.775635166666667,7.270598166666666
25,AL,Mobile,PM2.5 - Local Conditions,97.0,3.0,88101.0,2014.0,115.6,0.0,6.0,8.505273199999998,3.492873799999999
26,AL,Mobile,Sulfur dioxide,97.0,3.0,42401.0,2016.0,21724.2,0.0,3398.4,0.9899623999999999,1.4456814000000002
27,AL,Montgomery,Ozone,101.0,1002.0,44201.0,2014.0,5347.25,0.0,77.85,0.0426084,0.0106983
28,AL,Montgomery,PM10 Total 0-10um STP,101.0,1002.0,81102.0,2014.0,32.285714285714285,0.0,28.714285714285715,16.074063,7.584959285714285
29,AL,Montgomery,PM2.5 - Local Conditions,101.0,1002.0,88101.0,2014.0,87.0,0.0,5.2,9.373391699999999,3.771937100000001
30,AL,Morgan,Ozone,103.0,11.0,44201.0,2014.0,5338.1,0.0,75.1,0.044109249999999996,0.010721799999999997
31,AL,Morgan,PM2.5 - Local Conditions,103.0,11.0,88101.0,2014.0,120.6,0.0,1.4,8.595480600000002,3.565895599999999
32,AL,Pike,Lead (TSP) LC,109.0,3.0,14129.0,2014.0,56.6,0.0,4.2,0.1797302,0.2901719
33,AL,Russell,Ozone,113.0,2.0,44201.0,2014.0,5313.55,0.0,83.45,0.04239455,0.010839749999999999
34,AL,Russell,PM2.5 - Local Conditions,113.0,1.0,88101.0,2014.0,109.2,0.0,6.2,10.144304799999997,4.237151999999998
35,AL,Shelby,Ozone,117.0,4.0,44201.0,2014.0,5347.8,0.0,75.7,0.044031999999999995,0.012085199999999999
36,AL,Shelby,PM2.5 - Local Conditions,117.0,6.0,88101.0,2013.5,95.75,0.0,9.5,9.295044749999997,3.57580825
37,AL,Sumter,Ozone,119.0,3.0,44201.0,2014.5,5109.1875,0.0,125.5,0.03689431249999999,0.010413562500000001
38,AL,Talladega,PM2.5 - Local Conditions,121.0,2.0,88101.0,2014.0,112.4,0.0,11.0,9.457652600000003,3.861229399999999
39,AL,Tuscaloosa,Ozone,125.0,10.0,44201.0,2014.0,5313.7,0.0,83.9,0.039232500000000003,0.01060945
40,AL,Tuscaloosa,PM2.5 - Local Conditions,125.0,4.0,88101.0,2014.0,111.0,0.0,10.8,8.7774064,3.5066238000000007
41,AL,Tuscaloosa,Sulfur dioxide,125.0,10.0,42401.0,2013.0,21041.4,0.0,4038.8,0.514325,0.763378
42,AK,Anchorage ,Carbon monoxide,20.0,129.0,42101.0,2013.3,4154.85,0.0,38.1,0.6929466,0.5928975
43,AK,Anchorage ,Lead (TSP) LC,20.0,51.0,14129.0,2012.0,45.0,0.0,3.0,0.054547,0.0302305
44,AK,Anchorage ,Ozone,20.0,18.0,44201.0,2012.0,6711.25,0.0,17.25,0.02701225,0.009646
45,AK,Anchorage ,PM10 Total 0-10um STP,20.0,335.75,81102.0,2013.7708333333333,3846.2916666666665,3.0,199.70833333333334,21.220142666666668,22.47657372916667
46,AK,Anchorage ,PM2.5 - Local Conditions,20.0,480.4,88101.0,2013.8666666666666,1945.1866666666667,5.04,82.08,5.653883199999998,4.648380586666664
47,AK,Denali ,Ozone,68.0,3.0,44201.0,2014.0,7885.0,0.0,31.15,0.033099050000000005,0.0096687
48,AK,Fairbanks North Star ,Carbon monoxide,90.0,22.0,42101.0,2013.625,6609.8125,0.0,136.75,0.56743075,0.42780168749999997
49,AK,Fairbanks North Star ,Nitrogen dioxide (NO2),90.0,34.0,42602.0,2015.0,6598.333333333333,0.0,721.0,18.016335833333333,13.944620833333333
50,AK,Fairbanks North Star ,Ozone,90.0,34.0,44201.0,2014.0,7446.0,0.0,198.55,0.02630525000000001,0.0101397
51,AK,Fairbanks North Star ,PM10 Total 0-10um STP,90.0,34.0,81102.0,2014.2105263157894,3200.5789473684213,13.052631578947368,174.52631578947367,21.813534210526317,18.612634210526316
52,AK,Fairbanks North Star ,PM2.5 - Local Conditions,90.0,25.976744186046513,88101.0,2013.7906976744187,84.67441860465117,1.7674418604651163,4.8604651162790695,13.172376046511616,14.045609674418625
53,AK,Fairbanks North Star ,Sulfur dioxide,90.0,34.0,42401.0,2014.0,24111.76,0.0,964.48,8.090595960000002,6.919994760000001
54,AK,Juneau ,PM10 Total 0-10um STP,110.0,4.0,81102.0,2014.0,56.4,0.0,2.9,7.9672635,6.3834292999999995
55,AK,Juneau ,PM2.5 - Local Conditions,110.0,4.0,88101.0,2014.3636363636363,1457.939393939394,0.0,87.66666666666667,6.46417690909091,6.283419121212125
56,AK,Kenai Peninsula ,PM10 Total 0-10um STP,122.0,407.4,81102.0,2013.2,1496.3,0.0,328.1,15.545737900000002,22.346926500000002
57,AK,Kenai Peninsula ,PM2.5 - Local Conditions,122.0,8.0,88101.0,2013.4,747.12,3.6,255.4,7.109739040000002,12.954097919999999
58,AK,Matanuska-Susitna ,Ozone,170.0,12.5,44201.0,2014.25,5121.8125,0.0,166.875,0.028842937500000006,0.008535187500000001
59,AK,Matanuska-Susitna ,PM10 Total 0-10um STP,170.0,10.76923076923077,81102.0,2014.1153846153845,3763.596153846154,7.884615384615385,304.38461538461536,13.983306980769235,20.880180096153843
60,AK,Matanuska-Susitna ,PM2.5 - Local Conditions,170.0,10.712121212121213,88101.0,2013.7121212121212,1425.7424242424242,4.287878787878788,64.75757575757575,5.229251780303027,6.020082446969696
61,AZ,Apache,PM10 Total 0-10um STP,1.0,1003.0,81102.0,2014.0,5824.866666666667,5705.466666666666,63.333333333333336,15.487045599999998,13.707612800000001
62,AZ,Apache,PM2.5 - Local Conditions,1.0,1235.0,88101.0,2014.25,50.125,50.125,8.375,2.7416055,1.7940165000000001
63,AZ,Cochise,Ozone,3.0,8001.0,44201.0,2014.0,7955.55,0.0,55.7,0.04968134999999999,0.008610449999999999
64,AZ,Cochise,PM10 Total 0-10um STP,3.0,472.5,81102.0,2013.7142857142858,3906.3928571428573,3.0,242.78571428571428,26.507284821428566,25.378200964285718
65,AZ,Cochise,PM2.5 - Local Conditions,3.0,1005.0,88101.0,2013.9285714285713,1184.392857142857,0.0,92.89285714285714,6.107481892857142,3.125081464285714
66,AZ,Coconino,Ozone,5.0,4504.5,44201.0,2014.0,7074.725,0.0,36.275,0.049879275000000015,0.008078674999999997
67,AZ,Coconino,PM10 Total 0-10um STP,5.0,1145.4,81102.0,2012.2,2208.6,2140.0,427.6,20.988255,11.941934
68,AZ,Coconino,PM2.5 - Local Conditions,5.0,1008.0,88101.0,2012.5,60.0,0.0,1.5,5.415000000000001,2.424134
69,AZ,Gila,Lead (TSP) LC,7.0,3188.9375,14129.0,2014.125,57.1875,0.0,3.5,0.07426231250000001,0.075871
70,AZ,Gila,Ozone,7.0,10.0,44201.0,2014.2857142857142,6315.071428571428,1.7142857142857142,29.5,0.05228932142857144,0.010179357142857143
71,AZ,Gila,PM10 Total 0-10um STP,7.0,2711.4583333333335,81102.0,2013.9166666666667,2894.1041666666665,0.7916666666666666,148.75,25.7017978125,22.008459812500003
72,AZ,Gila,Sulfur dioxide,7.0,285.6666666666667,42401.0,2014.2222222222222,4989.444444444444,0.0,118.97222222222223,12.39714024999999,18.37284093055557
73,AZ,La Paz,Carbon monoxide,12.0,8000.0,42101.0,2016.0,2921.0,0.0,4.5,0.14089300000000002,0.05037
74,AZ,La Paz,Nitrogen dioxide (NO2),12.0,8000.0,42602.0,2015.0,5567.666666666667,0.0,267.6666666666667,1.444318,0.7975153333333335
75,AZ,La Paz,Ozone,12.0,8000.0,44201.0,2014.0,6393.5,0.0,106.4,0.051771199999999996,0.009002899999999998
76,AZ,La Paz,PM10 Total 0-10um STP,12.0,8000.0,81102.0,2015.0,4345.333333333333,0.0,212.33333333333334,12.569325,16.379258833333335
77,AZ,La Paz,PM2.5 - Local Conditions,12.0,8000.0,88101.0,2015.0,1896.0666666666666,0.0,127.66666666666667,1.8119203333333334,3.1256324666666675
78,AZ,La Paz,Sulfur dioxide,12.0,8000.0,42401.0,2015.0,3230.0,0.0,168.16666666666666,1.10281225,0.35409125
79,AZ,Maricopa,Carbon monoxide,13.0,3363.6714285714284,42101.0,2014.0857142857142,5714.692857142857,0.0,86.47142857142858,0.43084698571428587,0.2727887142857142
