,county_code,site_number,parameter_code,parameter,sample_duration,year,units_of_measure,observation_count,exceptional_data_count,null_observation_count,arithmetic_mean,standard_deviation,local_site_name,site_address,state,county,city,date_of_last_change
0,073,1006,44201,Ozone,1 HOUR,2012,Parts per million,8268,0,516,0.057747,0.014912,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
1,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,8582,0,0,0.051136,0.012308,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
2,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,8582,0,0,0.051136,0.012308,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
3,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,6138,0,0,0.05095,0.01246,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
4,073,1006,44201,Ozone,1 HOUR,2013,Parts per million,8143,0,617,0.05893,0.013469,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
5,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,8480,0,0,0.052399,0.010923,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
6,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,8480,0,0,0.052399,0.010923,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
7,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,6076,0,0,0.052402,0.011141,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
8,073,1006,44201,Ozone,1 HOUR,2014,Parts per million,7809,0,885,0.060898,0.012439,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
9,073,1006,44201,Ozone,1 HOUR,2014,Parts per million,7875,66,885,0.061087,0.012561,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
10,073,1006,44201,Ozone,1 HOUR,2014,Parts per million,7875,66,885,0.061087,0.012561,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
11,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8400,0,0,0.054416,0.010227,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
12,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8400,0,0,0.054416,0.010227,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
13,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,6037,0,0,0.054201,0.010294,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
14,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8465,0,0,0.054601,0.010447,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
15,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8465,0,0,0.054601,0.010447,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
16,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,6081,0,0,0.054383,0.01051,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
17,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8465,0,0,0.054601,0.010447,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
18,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8465,0,0,0.054601,0.010447,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
19,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,6081,0,0,0.054383,0.01051,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
20,073,1006,44201,Ozone,1 HOUR,2015,Parts per million,7951,0,809,0.059691,0.014073,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
21,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,8592,0,0,0.052601,0.011188,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
22,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,8592,0,0,0.052743,0.011317,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
23,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,6137,0,0,0.052794,0.011421,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
24,073,1006,44201,Ozone,1 HOUR,2016,Parts per million,7925,0,859,0.060752,0.014616,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
25,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,8586,0,0,0.053669,0.011623,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
26,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,8586,0,0,0.053669,0.011623,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
27,073,1006,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,6130,0,0,0.053524,0.01188,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2018-07-21
28,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2012,Parts per billion,8179,0,605,6.333048,4.864623,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2013-05-16
29,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2012,Parts per billion,8179,0,605,14.725212,6.861939,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2013-05-16
30,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2013,Parts per billion,7680,0,1080,5.757422,4.033411,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2014-03-27
31,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2013,Parts per billion,7680,0,1080,13.002985,5.587357,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2014-03-27
32,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2014,Parts per billion,7783,0,977,5.372478,3.761612,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2015-03-25
33,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2014,Parts per billion,7783,0,977,12.196581,5.435712,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2015-03-25
34,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2015,Parts per billion,7835,0,925,4.849394,3.786461,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2016-04-21
35,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2015,Parts per billion,7835,0,925,11.269886,5.979395,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2016-04-21
36,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2016,Parts per billion,7915,0,869,3.917498,3.302443,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2017-01-11
37,073,1006,42602,Nitrogen dioxide (NO2),1 HOUR,2016,Parts per billion,7915,0,869,9.807365,4.976336,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2017-01-11
38,073,1006,88101,PM2.5 - Local Conditions,1 HOUR,2012,Micrograms/cubic meter (LC),3970,0,206,7.519899,5.596739,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2014-06-29
39,073,1006,88101,PM2.5 - Local Conditions,24-HR BLK AVG,2012,Micrograms/cubic meter (LC),167,0,0,7.420359,4.22385,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2014-06-29
40,073,1006,88101,PM2.5 - Local Conditions,24-HR BLK AVG,2012,Micrograms/cubic meter (LC),167,0,0,7.420359,4.22385,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2014-06-29
41,073,1006,88101,PM2.5 - Local Conditions,24-HR BLK AVG,2012,Micrograms/cubic meter (LC),167,0,0,7.420359,4.22385,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2014-06-29
42,073,1006,88101,PM2.5 - Local Conditions,24-HR BLK AVG,2012,Micrograms/cubic meter (LC),167,0,0,7.420359,4.22385,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,2014-06-29
