,County,Year,AgeAdjustedRate,CaseCount,Population
0,Fayette,2012-2016,45.5,311,546383
1,Calhoun,2012-2016,47.2,18,32626
2,Hancock,2012-2016,48.8,34,43857
3,DeKalb,2012-2016,48.7,1615,3637680
4,Gwinnett,2012-2016,49.0,1599,4368652
5,Columbia,2012-2016,56.5,380,699716
6,Henry,2012-2016,54.9,520,1069940
7,Cobb,2012-2016,55.0,1754,3647154
8,Dooly,2012-2016,53.9,51,70937
9,Forsyth,2012-2016,52.8,472,1015659
10,Clarke,2012-2016,57.6,273,610843
11,Banks,2012-2016,59.8,69,91336
12,Telfair,2012-2016,52.7,56,82102
13,Wilkes,2012-2016,58.5,49,49726
14,Oconee,2012-2016,49.3,97,175334
15,Charlton,2012-2016,62.4,48,65463
16,Clayton,2012-2016,62.9,628,1351374
17,Cherokee,2012-2016,62.6,694,1152680
18,Houston,2012-2016,68.4,495,744285
19,Douglas,2012-2016,66.7,413,690583
20,Glynn,2012-2016,68.0,378,413021
21,Habersham,2012-2016,66.2,190,218241
22,Chatham,2012-2016,61.8,943,1413533
23,Coweta,2012-2016,64.3,439,677605
24,Early,2012-2016,63.4,47,52363
25,Catoosa,2012-2016,65.5,274,327672
26,Talbot,2012-2016,54.5,31,32479
27,Jefferson,2012-2016,56.2,58,80485
28,Hall,2012-2016,60.6,607,949389
29,Schley,2012-2016,55.9,18,25650
30,Rockdale,2012-2016,55.9,252,437652
31,Evans,2012-2016,52.3,35,53695
32,Macon,2012-2016,50.4,47,69367
33,Meriwether,2012-2016,53.4,83,106057
34,Fulton,2012-2016,51.8,2288,4985595
35,Butts,2012-2016,81.2,117,117131
36,Bleckley,2012-2016,70.0,56,63955
37,Candler,2012-2016,72.9,54,54783
38,Coffee,2012-2016,73.4,171,215406
39,Crisp,2012-2016,72.8,110,115887
40,Bryan,2012-2016,81.9,124,169614
41,Carroll,2012-2016,82.8,478,568130
42,Bibb,2012-2016,74.0,661,773420
43,Bulloch,2012-2016,70.8,220,365728
44,Burke,2012-2016,77.4,98,113750
45,Elbert,2012-2016,69.6,101,96911
46,Decatur,2012-2016,74.9,128,135855
47,Cook,2012-2016,77.2,80,85591
48,Floyd,2012-2016,73.0,437,480743
49,Grady,2012-2016,70.0,110,125721
50,Brooks,2012-2016,83.1,92,78191
51,Dawson,2012-2016,73.4,115,115071
52,Dodge,2012-2016,73.7,100,106100
53,Fannin,2012-2016,70.9,160,120686
54,Wheeler,2012-2016,67.4,30,39728
55,Stewart,2012-2016,68.8,23,29293
56,Walton,2012-2016,67.8,340,436841
57,Treutlen,2012-2016,65.0,29,33808
58,Union,2012-2016,63.3,151,109181
59,Muscogee,2012-2016,66.4,654,998228
60,Quitman,2012-2016,61.7,16,11685
61,Sumter,2012-2016,63.8,118,155191
62,Terrell,2012-2016,62.3,41,45386
63,Pike,2012-2016,67.5,72,89143
64,Pulaski,2012-2016,58.3,50,57482
65,Rabun,2012-2016,66.4,97,81490
66,Montgomery,2012-2016,60.5,34,44671
67,Morgan,2012-2016,55.2,69,89458
68,Dougherty,2012-2016,68.0,359,462796
69,Gilmer,2012-2016,66.7,156,145689
70,Randolph,2012-2016,67.9,34,36260
71,Oglethorpe,2012-2016,69.4,70,72896
72,Marion,2012-2016,55.8,32,43026
73,Johnson,2012-2016,58.8,37,49230
74,Harris,2012-2016,60.0,129,164654
75,Crawford,2012-2016,109.9,93,62242
76,Clinch,2012-2016,91.6,39,33923
77,Chattooga,2012-2016,89.9,147,125251
78,Brantley,2012-2016,95.7,109,91831
79,Colquitt,2012-2016,90.1,230,229744
80,Gordon,2012-2016,87.3,269,280720
81,Franklin,2012-2016,90.4,142,110740
82,Haralson,2012-2016,91.4,162,142664
83,Effingham,2012-2016,84.7,226,278799
84,Chattahoochee,2012-2016,85.4,18,57411
86,Dade,2012-2016,91.0,100,81634
87,Camden,2012-2016,70.9,176,259569
88,Emanuel,2012-2016,85.5,118,112720
90,Ben Hill,2012-2016,84.5,92,86939
91,Barrow,2012-2016,86.1,301,366642
92,Baldwin,2012-2016,78.9,206,229226
93,Bacon,2012-2016,93.8,62,56252
94,Baker,2012-2016,77.7,18,16432
95,Appling,2012-2016,80.3,94,92234
96,Atkinson,2012-2016,83.0,36,41496
97,Bartow,2012-2016,79.6,434,508425
98,Berrien,2012-2016,81.4,99,95050
99,White,2012-2016,70.7,152,140726
100,Ware,2012-2016,80.1,184,178498
101,Twiggs,2012-2016,74.6,53,41989
103,Turner,2012-2016,92.2,53,40661
104,Whitfield,2012-2016,71.6,385,518316
105,Wilcox,2012-2016,75.1,42,44715
106,Tift,2012-2016,81.0,184,203061
107,Wilkinson,2012-2016,88.2,59,46255
108,Worth,2012-2016,92.5,130,104877
109,Thomas,2012-2016,79.7,236,224326
110,Walker,2012-2016,81.7,379,342583
112,Wayne,2012-2016,73.9,129,149679
113,Warren,2012-2016,77.4,32,27292
114,Towns,2012-2016,73.5,85,54918
115,Washington,2012-2016,70.2,89,103012
116,Upson,2012-2016,80.2,147,131643
117,Toombs,2012-2016,77.0,126,135995
118,Troup,2012-2016,74.3,285,345683
119,Miller,2012-2016,87.3,36,29591
120,Richmond,2012-2016,70.2,746,1007628
121,Heard,2012-2016,105.7,81,57956
122,Jasper,2012-2016,74.8,66,68346
123,Peach,2012-2016,77.5,121,135715
124,Spalding,2012-2016,78.9,318,319261
125,Tattnall,2012-2016,71.1,101,127153
126,Putnam,2012-2016,73.7,123,106595
127,Screven,2012-2016,79.5,76,70402
128,Seminole,2012-2016,76.0,53,43322
129,Taylor,2012-2016,76.3,46,41550
130,Stephens,2012-2016,79.7,143,127968
131,Mitchell,2012-2016,73.9,103,113662
132,Polk,2012-2016,100.6,254,206267
133,Newton,2012-2016,75.9,373,518134
134,Madison,2012-2016,87.4,161,141722
135,Pickens,2012-2016,84.6,191,149407
136,Pierce,2012-2016,82.6,99,95312
137,Murray,2012-2016,86.5,195,196809
138,Lanier,2012-2016,78.8,41,51977
139,Laurens,2012-2016,79.3,240,237684
140,Jenkins,2012-2016,71.0,40,44996
141,Lumpkin,2012-2016,74.4,139,155696
142,McDuffie,2012-2016,65.8,91,107574
143,Lincoln,2012-2016,69.4,45,38720
144,Jones,2012-2016,83.4,150,142852
145,Lee,2012-2016,93.8,125,145322
146,McIntosh,2012-2016,61.8,72,70079
147,Lowndes,2012-2016,61.3,321,568327
148,Monroe,2012-2016,86.5,150,133239
149,Paulding,2012-2016,77.2,476,747307
150,Jackson,2012-2016,77.8,280,312593
151,Liberty,2012-2016,80.1,165,313545
152,Long,2012-2016,77.5,50,86395
153,Greene,2012-2016,61.8,88,82534
154,Hart,2012-2016,63.9,124,127410
155,Irwin,2012-2016,87.0,53,46599
156,Lamar,2012-2016,79.0,88,90836
157,Glascock,2012-2016,84.4,17,15178
158,Jeff Davis,2012-2016,72.5,63,75170
