,county_code,site_number,parameter_code,parameter,sample_duration,year,units_of_measure,observation_count,exceptional_data_count,null_observation_count,arithmetic_mean,standard_deviation,local_site_name,site_address,state,county,city,date_of_last_change
0,121,0056,42101,Carbon monoxide,1 HOUR,2014,Parts per million,4714,0,86,0.636742,0.305351,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-06-05
1,121,0056,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2014,Parts per million,4747,0,0,0.642237,0.250243,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-06-05
2,121,0056,42101,Carbon monoxide,1 HOUR,2015,Parts per million,8622,0,138,0.79949,0.333112,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2016-04-07
3,121,0056,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2015,Parts per million,8720,0,0,0.80586,0.282898,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2016-04-07
4,121,0056,42101,Carbon monoxide,1 HOUR,2016,Parts per million,8210,0,556,0.787454,0.28833,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-01-31
5,121,0056,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2016,Parts per million,8263,0,0,0.793671,0.231254,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-01-31
6,121,0056,42602,Nitrogen dioxide (NO2),1 HOUR,2014,Parts per billion,4658,0,142,19.848132,8.474391,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-02-06
7,121,0056,42602,Nitrogen dioxide (NO2),1 HOUR,2014,Parts per billion,4658,0,142,30.669849,8.663752,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-02-06
8,121,0056,42602,Nitrogen dioxide (NO2),1 HOUR,2015,Parts per billion,8396,0,364,19.541222,8.623153,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-02-06
9,121,0056,42602,Nitrogen dioxide (NO2),1 HOUR,2015,Parts per billion,8396,0,364,30.33324,8.765858,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-02-06
10,121,0056,42602,Nitrogen dioxide (NO2),1 HOUR,2016,Parts per billion,8536,0,230,19.650527,9.137508,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2017-02-24
11,121,0056,42602,Nitrogen dioxide (NO2),1 HOUR,2016,Parts per billion,8536,0,230,31.693075,9.549455,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2017-02-24
12,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),329,0,36,10.430091,3.956968,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
13,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),329,0,36,10.430091,3.956968,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
14,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),329,0,36,10.430091,3.956968,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
15,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),329,0,36,10.430091,3.956968,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
16,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),331,0,4,10.559819,4.287365,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
17,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),331,0,4,10.559819,4.287365,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
18,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),331,0,4,10.559819,4.287365,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
19,121,0056,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),331,0,4,10.559819,4.287365,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,2018-03-30
20,121,0099,42101,Carbon monoxide,1 HOUR,2012,Parts per million,8567,0,217,0.42603,0.202821,MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER,"GEORGIA POWER SUBSTATION, 4434 ROSWELL RD, ATLANTA, GA 30342",Georgia,Fulton,Atlanta,2016-04-09
21,121,0099,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2012,Parts per million,8639,0,0,0.43042,0.169853,MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER,"GEORGIA POWER SUBSTATION, 4434 ROSWELL RD, ATLANTA, GA 30342",Georgia,Fulton,Atlanta,2016-04-09
22,121,0099,42101,Carbon monoxide,1 HOUR,2013,Parts per million,8619,0,141,0.425977,0.202701,MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER,"GEORGIA POWER SUBSTATION, 4434 ROSWELL RD, ATLANTA, GA 30342",Georgia,Fulton,Atlanta,2016-04-08
23,121,0099,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2013,Parts per million,8717,0,0,0.430905,0.174635,MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER,"GEORGIA POWER SUBSTATION, 4434 ROSWELL RD, ATLANTA, GA 30342",Georgia,Fulton,Atlanta,2016-04-08
24,121,0099,42101,Carbon monoxide,1 HOUR,2014,Parts per million,1498,0,22,0.344793,0.237506,MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER,"GEORGIA POWER SUBSTATION, 4434 ROSWELL RD, ATLANTA, GA 30342",Georgia,Fulton,Atlanta,2018-06-04
25,121,0099,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2014,Parts per million,1517,0,0,0.350231,0.21487,MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER,"GEORGIA POWER SUBSTATION, 4434 ROSWELL RD, ATLANTA, GA 30342",Georgia,Fulton,Atlanta,2018-06-04
26,121,0055,44201,Ozone,1 HOUR,2012,Parts per million,5811,0,69,0.055242,0.016457,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
27,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,5834,0,0,0.048302,0.014429,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
28,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,5834,0,0,0.048302,0.014429,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
29,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,4134,0,0,0.048279,0.014614,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
30,121,0055,44201,Ozone,1 HOUR,2013,Parts per million,5821,0,59,0.047955,0.014112,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
31,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,5850,0,0,0.041992,0.012643,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
32,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,5850,0,0,0.041992,0.012643,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
33,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,4143,0,0,0.041868,0.012761,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
34,121,0055,44201,Ozone,1 HOUR,2014,Parts per million,5756,0,124,0.050008,0.012822,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
35,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,5771,0,0,0.044068,0.011633,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
36,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,5771,0,0,0.044068,0.011633,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
37,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,4104,0,0,0.043861,0.011816,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
38,121,0055,44201,Ozone,1 HOUR,2015,Parts per million,5833,0,47,0.050943,0.016633,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
39,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,5870,0,0,0.044649,0.014642,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
40,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,5870,0,0,0.044649,0.014642,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
41,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,4159,0,0,0.044537,0.014859,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
42,121,0055,44201,Ozone,1 HOUR,2016,Parts per million,5767,0,113,0.053335,0.014468,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
43,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,5800,0,0,0.04714,0.012564,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
44,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,5800,0,0,0.04714,0.012564,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
45,121,0055,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,4108,0,0,0.047062,0.01266,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2018-07-21
46,121,0055,42401,Sulfur dioxide,1 HOUR,2012,Parts per billion,8558,0,226,1.111802,0.568805,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
47,121,0055,42401,Sulfur dioxide,1 HOUR,2012,Parts per billion,8558,0,226,1.973204,1.783403,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
48,121,0055,42401,Sulfur dioxide,24-HR BLK AVG,2012,Parts per billion,362,0,0,1.111326,0.267664,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
49,121,0055,42401,Sulfur dioxide,3-HR BLK AVG,2012,Parts per billion,2821,0,0,1.106842,0.470882,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
50,121,0055,42401,Sulfur dioxide,1 HOUR,2013,Parts per billion,8597,0,163,1.04148,0.35479,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
51,121,0055,42401,Sulfur dioxide,1 HOUR,2013,Parts per billion,8597,0,163,1.435813,1.366767,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
52,121,0055,42401,Sulfur dioxide,24-HR BLK AVG,2013,Parts per billion,363,0,0,1.039669,0.127976,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
53,121,0055,42401,Sulfur dioxide,3-HR BLK AVG,2013,Parts per billion,2831,0,0,1.038608,0.262665,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
54,121,0055,42401,Sulfur dioxide,1 HOUR,2014,Parts per billion,8565,0,195,1.057513,0.447364,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
55,121,0055,42401,Sulfur dioxide,1 HOUR,2014,Parts per billion,8565,0,195,1.453056,1.311505,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
56,121,0055,42401,Sulfur dioxide,24-HR BLK AVG,2014,Parts per billion,360,0,0,1.056944,0.253019,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
57,121,0055,42401,Sulfur dioxide,3-HR BLK AVG,2014,Parts per billion,2817,0,0,1.054136,0.38918,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,2017-08-29
