,County,Year,AgeAdjustedRate,CaseCount,Population
0,Kane,2012-2016,51.2,1298,2633345
1,DuPage,2012-2016,51.8,2643,4657275
2,Champaign,2012-2016,52.8,499,1034430
3,Woodford,2012-2016,54.8,135,194822
4,Stephenson,2012-2016,52.4,186,231025
5,Wabash,2012-2016,66.1,56,58028
6,Calhoun,2012-2016,56.9,22,24639
7,Carroll,2012-2016,56.4,73,74116
8,Boone,2012-2016,67.9,204,268430
9,Effingham,2012-2016,64.0,139,170953
10,Jo Daviess,2012-2016,63.4,127,111170
11,Lee,2012-2016,64.1,160,174148
12,DeKalb,2012-2016,67.1,314,521943
13,McHenry,2012-2016,60.4,959,1539264
14,Monroe,2012-2016,52.9,117,167860
15,Adams,2012-2016,70.1,333,334838
16,Coles,2012-2016,73.6,226,264022
17,Jefferson,2012-2016,75.4,195,192263
18,Marshall,2012-2016,73.6,74,60152
19,Bureau,2012-2016,74.3,188,169190
20,Cumberland,2012-2016,79.6,62,54533
21,Kankakee,2012-2016,77.4,516,557352
22,Douglas,2012-2016,70.8,91,99290
23,Henry,2012-2016,70.8,254,249170
24,Jackson,2012-2016,70.8,218,296283
25,Lake,2012-2016,56.5,2031,3521021
26,Hancock,2012-2016,65.5,97,92128
27,Fayette,2012-2016,56.6,84,110266
28,Cook,2012-2016,59.3,16642,26218615
29,Clinton,2012-2016,64.9,152,188497
30,Edgar,2012-2016,75.9,103,88841
31,Henderson,2012-2016,68.1,42,34883
32,Warren,2012-2016,63.6,79,87715
33,Stark,2012-2016,58.1,26,28065
34,McLean,2012-2016,59.9,486,866389
35,Tazewell,2012-2016,82.4,735,676063
36,Alexander,2012-2016,89.3,49,35280
37,Cass,2012-2016,93.7,76,65318
38,Greene,2012-2016,88.7,84,67038
39,Christian,2012-2016,93.5,226,169225
40,Macoupin,2012-2016,89.2,299,231401
41,Massac,2012-2016,95.3,105,73687
42,Hardin,2012-2016,114.6,40,21037
43,La Salle,2012-2016,80.5,616,558597
44,Marion,2012-2016,81.8,227,192629
45,Lawrence,2012-2016,81.9,87,82842
46,Franklin,2012-2016,108.8,312,197320
47,Hamilton,2012-2016,80.8,54,41490
48,Johnson,2012-2016,93.5,89,64455
49,Livingston,2012-2016,90.5,222,186052
50,Clay,2012-2016,88.3,89,67408
51,Brown,2012-2016,99.6,36,34127
52,De Witt,2012-2016,96.3,110,81433
53,Fulton,2012-2016,73.7,189,180141
54,Grundy,2012-2016,78.9,212,251233
55,Edwards,2012-2016,73.1,37,33086
56,Ford,2012-2016,71.4,70,67948
57,Gallatin,2012-2016,88.4,38,26441
58,Winnebago,2012-2016,69.5,1259,1444831
59,Wayne,2012-2016,73.2,94,83003
60,Piatt,2012-2016,72.3,83,82222
61,Randolph,2012-2016,78.3,174,164791
62,St. Clair,2012-2016,77.9,1189,1328298
63,Washington,2012-2016,64.8,67,71869
64,Whiteside,2012-2016,61.6,256,285761
65,Will,2012-2016,65.9,2119,3428405
66,Jasper,2012-2016,73.7,51,48121
67,Jersey,2012-2016,68.5,107,111806
68,McDonough,2012-2016,74.2,143,159702
69,Rock Island,2012-2016,64.1,634,733805
70,Shelby,2012-2016,78.9,135,110020
71,Perry,2012-2016,71.3,101,107887
72,Moultrie,2012-2016,68.4,65,73732
73,Kendall,2012-2016,60.8,273,606693
74,Bond,2012-2016,68.0,77,85754
75,White,2012-2016,88.8,99,71512
76,Menard,2012-2016,87.1,76,62523
77,Saline,2012-2016,84.4,151,122956
78,Williamson,2012-2016,94.3,431,336816
79,Putnam,2012-2016,87.6,42,29035
80,Vermilion,2012-2016,90.7,493,398948
81,Mercer,2012-2016,80.1,99,79517
82,Peoria,2012-2016,83.1,934,934904
83,Sangamon,2012-2016,80.9,1008,993539
84,Schuyler,2012-2016,95.0,53,36323
85,Scott,2012-2016,84.7,33,25830
86,Union,2012-2016,94.5,127,86944
87,Mason,2012-2016,103.6,111,70124
88,Madison,2012-2016,81.6,1365,1333363
89,Pulaski,2012-2016,117.3,51,28906
90,Morgan,2012-2016,87.5,209,173733
91,Pike,2012-2016,72.7,88,80060
92,Richland,2012-2016,93.0,105,79998
93,Knox,2012-2016,71.0,267,258502
94,Pope,2012-2016,80.5,32,21927
95,Montgomery,2012-2016,94.8,193,146688
96,Ogle,2012-2016,68.6,238,259822
97,Crawford,2012-2016,73.2,100,96691
98,Clark,2012-2016,77.6,88,80111
99,Macon,2012-2016,93.4,701,542237
100,Iroquois,2012-2016,78.2,171,143671
101,Logan,2012-2016,104.2,205,148520
