,county_code,site_number,parameter_code,parameter,sample_duration,year,units_of_measure,observation_count,exceptional_data_count,null_observation_count,arithmetic_mean,standard_deviation,local_site_name,site_address,state,county,city,date_of_last_change
0,115,0110,14129,Lead (TSP) LC,24 HOUR,2012,Micrograms/cubic meter (LC),56,0,0,0.054107,0.078457,MUELLER,1226 E. GARFIELD,Illinois,Macon,Decatur,2013-06-28
1,115,0110,14129,Lead (TSP) LC,24 HOUR,2013,Micrograms/cubic meter (LC),60,0,1,0.032333,0.05609,MUELLER,1226 E. GARFIELD,Illinois,Macon,Decatur,2014-02-25
2,115,0110,14129,Lead (TSP) LC,24 HOUR,2014,Micrograms/cubic meter (LC),60,0,1,0.02895,0.037702,MUELLER,1226 E. GARFIELD,Illinois,Macon,Decatur,2015-03-18
3,115,0110,14129,Lead (TSP) LC,24 HOUR,2015,Micrograms/cubic meter (LC),56,0,5,0.030464,0.042582,MUELLER,1226 E. GARFIELD,Illinois,Macon,Decatur,2016-01-19
4,115,0110,14129,Lead (TSP) LC,24 HOUR,2016,Micrograms/cubic meter (LC),59,0,3,0.025508,0.051635,MUELLER,1226 E. GARFIELD,Illinois,Macon,Decatur,2017-02-02
5,115,0013,44201,Ozone,1 HOUR,2012,Parts per million,8718,0,36,0.052765,0.014182,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
6,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,8759,0,0,0.047878,0.013719,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
7,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,8759,0,0,0.047878,0.013719,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
8,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,6197,0,0,0.047722,0.013902,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
9,115,0013,44201,Ozone,1 HOUR,2013,Parts per million,8695,0,65,0.047505,0.010492,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
10,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,8718,0,0,0.042962,0.010272,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
11,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,8718,0,0,0.042962,0.010272,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
12,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,6176,0,0,0.042788,0.010527,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
13,115,0013,44201,Ozone,1 HOUR,2014,Parts per million,8742,0,18,0.04821,0.010675,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
14,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8734,0,0,0.043561,0.010749,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
15,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,8734,0,0,0.043561,0.010749,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
16,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2014,Parts per million,6181,0,0,0.043376,0.011009,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
17,115,0013,44201,Ozone,1 HOUR,2015,Parts per million,8748,0,12,0.048252,0.010202,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
18,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,8742,0,0,0.044178,0.010018,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
19,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,8742,0,0,0.044178,0.010018,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
20,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2015,Parts per million,6192,0,0,0.044075,0.010139,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
21,115,0013,44201,Ozone,1 HOUR,2016,Parts per million,8665,0,119,0.047808,0.010827,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
22,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,8679,0,0,0.043561,0.010572,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
23,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,8679,0,0,0.043561,0.010572,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
24,115,0013,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2016,Parts per million,6146,0,0,0.043481,0.010701,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2018-07-21
25,115,0013,42401,Sulfur dioxide,1 HOUR,2012,Parts per billion,8548,0,203,1.858446,4.155128,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2013-02-06
26,115,0013,42401,Sulfur dioxide,1 HOUR,2012,Parts per billion,8548,0,203,8.08078,9.168299,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2013-02-06
27,115,0013,42401,Sulfur dioxide,24-HR BLK AVG,2012,Parts per billion,359,0,0,1.869916,2.589523,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2013-02-06
28,115,0013,42401,Sulfur dioxide,3-HR BLK AVG,2012,Parts per billion,2814,0,0,1.821429,3.757614,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2013-02-06
29,115,0013,42401,Sulfur dioxide,1 HOUR,2013,Parts per billion,8620,0,140,1.644316,3.860208,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2014-01-23
30,115,0013,42401,Sulfur dioxide,1 HOUR,2013,Parts per billion,8620,0,140,7.629834,8.421776,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2014-01-23
31,115,0013,42401,Sulfur dioxide,24-HR BLK AVG,2013,Parts per billion,362,0,0,1.640884,2.258891,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2014-01-23
32,115,0013,42401,Sulfur dioxide,3-HR BLK AVG,2013,Parts per billion,2841,0,0,1.629708,3.447994,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2014-01-23
33,115,0013,42401,Sulfur dioxide,1 HOUR,2014,Parts per billion,8740,0,20,1.98508,4.56471,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2015-03-18
34,115,0013,42401,Sulfur dioxide,1 HOUR,2014,Parts per billion,8740,0,20,9.039452,10.126376,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2015-03-18
35,115,0013,42401,Sulfur dioxide,24-HR BLK AVG,2014,Parts per billion,365,0,0,1.987397,2.905084,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2015-03-18
36,115,0013,42401,Sulfur dioxide,3-HR BLK AVG,2014,Parts per billion,2905,0,0,1.966747,4.129427,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2015-03-18
37,115,0013,42401,Sulfur dioxide,1 HOUR,2015,Parts per billion,8749,0,11,2.307692,4.079215,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2016-01-14
38,115,0013,42401,Sulfur dioxide,1 HOUR,2015,Parts per billion,8749,0,11,8.247671,9.235028,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2016-01-14
39,115,0013,42401,Sulfur dioxide,24-HR BLK AVG,2015,Parts per billion,365,0,0,2.309315,2.531412,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2016-01-14
40,115,0013,42401,Sulfur dioxide,3-HR BLK AVG,2015,Parts per billion,2910,0,0,2.273746,3.663489,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2016-01-14
41,115,0013,42401,Sulfur dioxide,1 HOUR,2016,Parts per billion,8767,0,17,2.649105,5.257002,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-01-24
42,115,0013,42401,Sulfur dioxide,1 HOUR,2016,Parts per billion,8767,0,17,10.339344,12.876221,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-01-24
43,115,0013,42401,Sulfur dioxide,24-HR BLK AVG,2016,Parts per billion,366,0,0,2.651093,3.273344,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-01-24
44,115,0013,42401,Sulfur dioxide,3-HR BLK AVG,2016,Parts per billion,2918,0,0,2.62087,4.655593,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-01-24
45,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2014,Micrograms/cubic meter (LC),29,0,32,10.203448,5.658968,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
46,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2014,Micrograms/cubic meter (LC),29,0,32,10.203448,5.658968,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
47,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2014,Micrograms/cubic meter (LC),29,0,32,10.203448,5.658968,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
48,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2014,Micrograms/cubic meter (LC),29,0,32,10.203448,5.658968,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
49,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),59,0,1,8.684746,4.257278,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
50,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),59,0,1,8.684746,4.257278,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
51,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),59,0,1,8.684746,4.257278,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
52,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2015,Micrograms/cubic meter (LC),59,0,1,8.684746,4.257278,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
53,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),59,0,2,7.769492,3.12621,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
54,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),59,0,2,7.769492,3.12621,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
55,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),59,0,2,7.769492,3.12621,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
56,115,0013,88101,PM2.5 - Local Conditions,24 HOUR,2016,Micrograms/cubic meter (LC),59,0,2,7.769492,3.12621,IEPA TRAILER,2200 N. 22ND,Illinois,Macon,Decatur,2017-10-17
57,031,4007,44201,Ozone,1 HOUR,2012,Parts per million,8705,0,61,0.046634,0.016038,REGIONAL OFFICE BUILDING,9511 W. HARRISON ST,Illinois,Cook,Des Plaines,2018-07-19
