,County,Year,AgeAdjustedRate,CaseCount,Population
0,Queens,2012-2016,43.6,5762,11622232
1,Bronx,2012-2016,46.2,3194,7225933
2,Kings,2012-2016,46.7,6208,13106099
3,Westchester,2012-2016,48.4,2955,4858549
4,New York,2012-2016,47.2,4514,8235025
5,Cattaraugus,2012-2016,67.5,365,392901
6,Broome,2012-2016,65.3,862,985766
7,Richmond,2012-2016,64.7,1810,2371877
8,Wyoming,2012-2016,67.4,175,205650
9,Yates,2012-2016,66.7,117,125799
10,Ulster,2012-2016,69.8,862,902915
11,Lewis,2012-2016,56.0,99,134858
12,Otsego,2012-2016,59.2,256,305415
13,Rockland,2012-2016,48.8,915,1614331
14,Sullivan,2012-2016,69.4,357,380446
15,Albany,2012-2016,71.6,1331,1539493
16,Allegany,2012-2016,76.1,240,238334
17,Chenango,2012-2016,71.3,256,245842
18,Washington,2012-2016,74.6,316,312273
19,Wayne,2012-2016,73.1,443,459600
20,Steuben,2012-2016,76.2,514,490362
21,Warren,2012-2016,81.2,404,324399
22,Niagara,2012-2016,82.2,1204,1066830
23,Herkimer,2012-2016,80.1,356,316707
24,Saratoga,2012-2016,72.2,1033,1125877
25,Rensselaer,2012-2016,85.8,841,798840
26,Livingston,2012-2016,70.5,290,322901
27,Tioga,2012-2016,61.7,220,248313
28,Putnam,2012-2016,63.7,396,497721
29,Suffolk,2012-2016,66.0,6037,7494294
30,Tompkins,2012-2016,54.8,282,520340
31,Monroe,2012-2016,62.2,2853,3744283
32,Nassau,2012-2016,54.1,4782,6797963
33,St. Lawrence,2012-2016,70.7,487,556904
34,Dutchess,2012-2016,60.7,1147,1480279
35,Schuyler,2012-2016,77.7,106,91045
36,Orleans,2012-2016,83.7,226,209327
37,Seneca,2012-2016,81.7,196,175065
38,Madison,2012-2016,76.7,361,360262
39,Fulton,2012-2016,87.7,334,270769
40,Greene,2012-2016,82.2,301,240088
41,Hamilton,2012-2016,88.9,41,23545
42,Jefferson,2012-2016,92.1,522,590097
43,Essex,2012-2016,72.3,224,192095
44,Genesee,2012-2016,73.6,294,294446
45,Franklin,2012-2016,77.7,239,255963
46,Montgomery,2012-2016,75.8,259,248072
47,Erie,2012-2016,74.3,4497,4615380
48,Oswego,2012-2016,95.4,694,602158
49,Oneida,2012-2016,75.3,1177,1164262
50,Orange,2012-2016,65.5,1275,1882827
51,Onondaga,2012-2016,75.0,2174,2340592
52,Schenectady,2012-2016,68.9,684,775797
53,Schoharie,2012-2016,66.8,157,158699
54,Ontario,2012-2016,71.0,537,546185
55,Clinton,2012-2016,91.3,455,406883
56,Delaware,2012-2016,69.5,261,231970
57,Chautauqua,2012-2016,68.0,622,658515
58,Cortland,2012-2016,81.8,234,242906
59,Cayuga,2012-2016,87.0,460,393507
60,Columbia,2012-2016,74.6,366,309275
61,Chemung,2012-2016,73.9,434,438055
