,county_code,site_number,parameter_code,parameter,sample_duration,year,units_of_measure,observation_count,exceptional_data_count,null_observation_count,arithmetic_mean,standard_deviation,local_site_name,site_address,state,county,city,date_of_last_change
0,001,0012,42101,Carbon monoxide,1 HOUR,2012,Parts per million,8650,0,134,0.265642,0.123018,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-09
1,001,0012,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2012,Parts per million,8625,0,0,0.268649,0.118286,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-09
2,001,0012,42101,Carbon monoxide,1 HOUR,2013,Parts per million,8618,0,141,0.231562,0.145281,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-08
3,001,0012,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2013,Parts per million,8650,0,0,0.234936,0.140438,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-08
4,001,0012,42101,Carbon monoxide,1 HOUR,2014,Parts per million,8623,0,137,0.226638,0.132641,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-08
5,001,0012,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2014,Parts per million,8618,0,0,0.228568,0.127494,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-08
6,001,0012,42101,Carbon monoxide,1 HOUR,2015,Parts per million,8607,0,153,0.17631,0.137302,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-07
7,001,0012,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2015,Parts per million,8545,0,0,0.179169,0.121656,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2016-04-07
8,001,0012,42101,Carbon monoxide,1 HOUR,2016,Parts per million,8408,0,376,0.160954,0.104206,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2017-01-30
9,001,0012,42101,Carbon monoxide,8-HR RUN AVG END HOUR,2016,Parts per million,8406,0,0,0.162967,0.098061,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2017-01-30
10,001,0012,44201,Ozone,1 HOUR,2012,Parts per million,8464,0,320,0.047602,0.014213,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
11,001,0012,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,8428,0,0,0.042706,0.013437,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
12,001,0012,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,8428,0,0,0.042706,0.013437,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
13,001,0012,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2012,Parts per million,5995,0,0,0.042519,0.013441,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
14,001,0012,44201,Ozone,1 HOUR,2013,Parts per million,8627,0,133,0.045995,0.011697,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
15,001,0012,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,8662,0,0,0.041607,0.011224,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
16,001,0012,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,8662,0,0,0.041607,0.011224,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
17,001,0012,44201,Ozone,8-HR RUN AVG BEGIN HOUR,2013,Parts per million,6146,0,0,0.041423,0.011324,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
18,001,0012,44201,Ozone,1 HOUR,2014,Parts per million,8283,0,477,0.042226,0.011336,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,2018-07-18
