Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'California','Mono County','Lung and Bronchus','2012-2016','Male and Female','25.9','20','70372'
'California','Marin County','Lung and Bronchus','2012-2016','Male and Female','35.1','680','1299494'
'California','Monterey County','Lung and Bronchus','2012-2016','Male and Female','36.8','763','2154029'
'California','Los Angeles County','Lung and Bronchus','2012-2016','Male and Female','36.6','18307','50321257'
'California','Santa Cruz County','Lung and Bronchus','2012-2016','Male and Female','37.0','538','1357213'
'California','Orange County','Lung and Bronchus','2012-2016','Male and Female','39.3','6509','15674064'
'California','Ventura County','Lung and Bronchus','2012-2016','Male and Female','39.4','1795','4220088'
'California','Mariposa County','Lung and Bronchus','2012-2016','Male and Female','45.4','76','88616'
'California','Nevada County','Lung and Bronchus','2012-2016','Male and Female','40.9','345','492547'
'California','Alameda County','Lung and Bronchus','2012-2016','Male and Female','41.5','3416','8041533'
'California','San Benito County','Lung and Bronchus','2012-2016','Male and Female','40.1','108','289744'
'California','San Mateo County','Lung and Bronchus','2012-2016','Male and Female','40.1','1773','3786485'
'California','Tuolumne County','Lung and Bronchus','2012-2016','Male and Female','42.9','202','269483'
'California','Yolo County','Lung and Bronchus','2012-2016','Male and Female','43.6','405','1048800'
'California','Tulare County','Lung and Bronchus','2012-2016','Male and Female','38.5','747','2280330'
'California','Sacramento County','Lung and Bronchus','2012-2016','Male and Female','53.7','4077','7392971'
'California','Shasta County','Lung and Bronchus','2012-2016','Male and Female','60.2','787','892591'
'California','Siskiyou County','Lung and Bronchus','2012-2016','Male and Female','51.2','189','217877'
'California','Napa County','Lung and Bronchus','2012-2016','Male and Female','46.3','429','702928'
'California','San Francisco County','Lung and Bronchus','2012-2016','Male and Female','46.3','2288','4267357'
'California','Sutter County','Lung and Bronchus','2012-2016','Male and Female','51.4','276','475609'
'California','Yuba County','Lung and Bronchus','2012-2016','Male and Female','65.0','225','369019'
'California','Madera County','Lung and Bronchus','2012-2016','Male and Female','46.9','361','767211'
'California','Stanislaus County','Lung and Bronchus','2012-2016','Male and Female','48.7','1252','2651871'
'California','Santa Barbara County','Lung and Bronchus','2012-2016','Male and Female','39.3','957','2197658'
'California','San Joaquin County','Lung and Bronchus','2012-2016','Male and Female','51.7','1764','3576297'
'California','Tehama County','Lung and Bronchus','2012-2016','Male and Female','60.9','269','315549'
'California','San Diego County','Lung and Bronchus','2012-2016','Male and Female','43.7','7179','16260439'
'California','Kings County','Lung and Bronchus','2012-2016','Male and Female','40.1','237','752081'
'California','Placer County','Lung and Bronchus','2012-2016','Male and Female','44.6','1118','1849329'
'California','San Luis Obispo County','Lung and Bronchus','2012-2016','Male and Female','43.2','814','1391569'
'California','Riverside County','Lung and Bronchus','2012-2016','Male and Female','44.0','5294','11616550'
'California','Santa Clara County','Lung and Bronchus','2012-2016','Male and Female','39.3','3720','9459844'
'California','Sonoma County','Lung and Bronchus','2012-2016','Male and Female','43.4','1391','2491239'
'California','Imperial County','Lung and Bronchus','2012-2016','Male and Female','38.5','322','894195'
'California','Amador County','Lung and Bronchus','2012-2016','Male and Female','59.5','209','185015'
'California','Colusa County','Lung and Bronchus','2012-2016','Male and Female','53.2','57','106940'
'California','Solano County','Lung and Bronchus','2012-2016','Male and Female','50.6','1209','2149713'
'California','Sierra County','Lung and Bronchus','2012-2016','Male and Female','Data Suppressed','Data Suppressed','15035'
'California','Trinity County','Lung and Bronchus','2012-2016','Male and Female','61.6','72','65957'
'California','Lassen County','Lung and Bronchus','2012-2016','Male and Female','44.6','76','159820'
'California','Plumas County','Lung and Bronchus','2012-2016','Male and Female','43.1','74','94255'
'California','San Bernardino County','Lung and Bronchus','2012-2016','Male and Female','42.7','3871','10525296'
'California','Inyo County','Lung and Bronchus','2012-2016','Male and Female','45.6','71','91318'
'California','Contra Costa County','Lung and Bronchus','2012-2016','Male and Female','42.7','2665','5550046'
'California','Glenn County','Lung and Bronchus','2012-2016','Male and Female','61.6','101','139477'
'California','Lake County','Lung and Bronchus','2012-2016','Male and Female','72.7','367','320233'
'California','Kern County','Lung and Bronchus','2012-2016','Male and Female','47.0','1687','4355839'
'California','Mendocino County','Lung and Bronchus','2012-2016','Male and Female','48.8','305','436842'
'California','Merced County','Lung and Bronchus','2012-2016','Male and Female','48.0','537','1325684'
'California','Fresno County','Lung and Bronchus','2012-2016','Male and Female','44.9','1946','4815675'
'California','Modoc County','Lung and Bronchus','2012-2016','Male and Female','40.1','32','45587'
'California','Humboldt County','Lung and Bronchus','2012-2016','Male and Female','55.2','463','675292'
'California','Butte County','Lung and Bronchus','2012-2016','Male and Female','57.8','849','1117709'
'California','Calaveras County','Lung and Bronchus','2012-2016','Male and Female','45.7','191','224439'
'California','Del Norte County','Lung and Bronchus','2012-2016','Male and Female','52.6','93','137942'
'California','El Dorado County','Lung and Bronchus','2012-2016','Male and Female','45.9','593','916768'
'California','Alpine County','Lung and Bronchus','2012-2016','Male and Female','Data Suppressed','Data Suppressed','5466'
