Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Georgia','Fayette County','Lung and Bronchus','2012-2016','Male and Female','45.5','311','546383'
'Georgia','Calhoun County','Lung and Bronchus','2012-2016','Male and Female','47.2','18','32626'
'Georgia','Hancock County','Lung and Bronchus','2012-2016','Male and Female','48.8','34','43857'
'Georgia','DeKalb County','Lung and Bronchus','2012-2016','Male and Female','48.7','1615','3637680'
'Georgia','Gwinnett County','Lung and Bronchus','2012-2016','Male and Female','49.0','1599','4368652'
'Georgia','Columbia County','Lung and Bronchus','2012-2016','Male and Female','56.5','380','699716'
'Georgia','Henry County','Lung and Bronchus','2012-2016','Male and Female','54.9','520','1069940'
'Georgia','Cobb County','Lung and Bronchus','2012-2016','Male and Female','55.0','1754','3647154'
'Georgia','Dooly County','Lung and Bronchus','2012-2016','Male and Female','53.9','51','70937'
'Georgia','Forsyth County','Lung and Bronchus','2012-2016','Male and Female','52.8','472','1015659'
'Georgia','Clarke County','Lung and Bronchus','2012-2016','Male and Female','57.6','273','610843'
'Georgia','Banks County','Lung and Bronchus','2012-2016','Male and Female','59.8','69','91336'
'Georgia','Telfair County','Lung and Bronchus','2012-2016','Male and Female','52.7','56','82102'
'Georgia','Wilkes County','Lung and Bronchus','2012-2016','Male and Female','58.5','49','49726'
'Georgia','Oconee County','Lung and Bronchus','2012-2016','Male and Female','49.3','97','175334'
'Georgia','Charlton County','Lung and Bronchus','2012-2016','Male and Female','62.4','48','65463'
'Georgia','Clayton County','Lung and Bronchus','2012-2016','Male and Female','62.9','628','1351374'
'Georgia','Cherokee County','Lung and Bronchus','2012-2016','Male and Female','62.6','694','1152680'
'Georgia','Houston County','Lung and Bronchus','2012-2016','Male and Female','68.4','495','744285'
'Georgia','Douglas County','Lung and Bronchus','2012-2016','Male and Female','66.7','413','690583'
'Georgia','Glynn County','Lung and Bronchus','2012-2016','Male and Female','68.0','378','413021'
'Georgia','Habersham County','Lung and Bronchus','2012-2016','Male and Female','66.2','190','218241'
'Georgia','Chatham County','Lung and Bronchus','2012-2016','Male and Female','61.8','943','1413533'
'Georgia','Coweta County','Lung and Bronchus','2012-2016','Male and Female','64.3','439','677605'
'Georgia','Early County','Lung and Bronchus','2012-2016','Male and Female','63.4','47','52363'
'Georgia','Catoosa County','Lung and Bronchus','2012-2016','Male and Female','65.5','274','327672'
'Georgia','Talbot County','Lung and Bronchus','2012-2016','Male and Female','54.5','31','32479'
'Georgia','Jefferson County','Lung and Bronchus','2012-2016','Male and Female','56.2','58','80485'
'Georgia','Hall County','Lung and Bronchus','2012-2016','Male and Female','60.6','607','949389'
'Georgia','Schley County','Lung and Bronchus','2012-2016','Male and Female','55.9','18','25650'
