Area,County,CancerType,Year,Sex,AgeAdjustedRate,lci,uci,CaseCount,Population
'Illinois','Kane County','Lung and Bronchus','2012-2016','Male and Female','51.2','48.4','54.1','1298','2633345'
'Illinois','DuPage County','Lung and Bronchus','2012-2016','Male and Female','51.8','49.7','53.8','2643','4657275'
'Illinois','Champaign County','Lung and Bronchus','2012-2016','Male and Female','52.8','48.2','57.8','499','1034430'
'Illinois','Woodford County','Lung and Bronchus','2012-2016','Male and Female','54.8','45.7','65.2','135','194822'
'Illinois','Stephenson County','Lung and Bronchus','2012-2016','Male and Female','52.4','45','60.9','186','231025'
'Illinois','Wabash County','Lung and Bronchus','2012-2016','Male and Female','66.1','49.6','86.9','56','58028'
'Illinois','Calhoun County','Lung and Bronchus','2012-2016','Male and Female','56.9','34.5','90.6','22','24639'
'Illinois','Carroll County','Lung and Bronchus','2012-2016','Male and Female','56.4','44','72.1','73','74116'
'Illinois','Boone County','Lung and Bronchus','2012-2016','Male and Female','67.9','58.8','78.1','204','268430'
'Illinois','Effingham County','Lung and Bronchus','2012-2016','Male and Female','64.0','53.6','75.9','139','170953'
'Illinois','Jo Daviess County','Lung and Bronchus','2012-2016','Male and Female','63.4','52.7','76.2','127','111170'
'Illinois','Lee County','Lung and Bronchus','2012-2016','Male and Female','64.1','54.4','75.1','160','174148'
'Illinois','DeKalb County','Lung and Bronchus','2012-2016','Male and Female','67.1','59.8','75.1','314','521943'
'Illinois','McHenry County','Lung and Bronchus','2012-2016','Male and Female','60.4','56.5','64.5','959','1539264'
'Illinois','Monroe County','Lung and Bronchus','2012-2016','Male and Female','52.9','43.6','63.8','117','167860'
'Illinois','Adams County','Lung and Bronchus','2012-2016','Male and Female','70.1','62.6','78.3','333','334838'
'Illinois','Coles County','Lung and Bronchus','2012-2016','Male and Female','73.6','64.2','84.2','226','264022'
'Illinois','Jefferson County','Lung and Bronchus','2012-2016','Male and Female','75.4','65','87.1','195','192263'
'Illinois','Marshall County','Lung and Bronchus','2012-2016','Male and Female','73.6','57.6','93.4','74','60152'
