Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'New York','Queens County','Lung and Bronchus','2012-2016','Male and Female','43.6','5762','11622232'
'New York','Bronx County','Lung and Bronchus','2012-2016','Male and Female','46.2','3194','7225933'
'New York','Kings County','Lung and Bronchus','2012-2016','Male and Female','46.7','6208','13106099'
'New York','Westchester County','Lung and Bronchus','2012-2016','Male and Female','48.4','2955','4858549'
'New York','New York County','Lung and Bronchus','2012-2016','Male and Female','47.2','4514','8235025'
'New York','Cattaraugus County','Lung and Bronchus','2012-2016','Male and Female','67.5','365','392901'
'New York','Broome County','Lung and Bronchus','2012-2016','Male and Female','65.3','862','985766'
'New York','Richmond County','Lung and Bronchus','2012-2016','Male and Female','64.7','1810','2371877'
'New York','Wyoming County','Lung and Bronchus','2012-2016','Male and Female','67.4','175','205650'
'New York','Yates County','Lung and Bronchus','2012-2016','Male and Female','66.7','117','125799'
'New York','Ulster County','Lung and Bronchus','2012-2016','Male and Female','69.8','862','902915'
'New York','Lewis County','Lung and Bronchus','2012-2016','Male and Female','56.0','99','134858'
'New York','Otsego County','Lung and Bronchus','2012-2016','Male and Female','59.2','256','305415'
'New York','Rockland County','Lung and Bronchus','2012-2016','Male and Female','48.8','915','1614331'
'New York','Sullivan County','Lung and Bronchus','2012-2016','Male and Female','69.4','357','380446'
'New York','Albany County','Lung and Bronchus','2012-2016','Male and Female','71.6','1331','1539493'
'New York','Allegany County','Lung and Bronchus','2012-2016','Male and Female','76.1','240','238334'
'New York','Chenango County','Lung and Bronchus','2012-2016','Male and Female','71.3','256','245842'
'New York','Washington County','Lung and Bronchus','2012-2016','Male and Female','74.6','316','312273'
'New York','Wayne County','Lung and Bronchus','2012-2016','Male and Female','73.1','443','459600'
'New York','Steuben County','Lung and Bronchus','2012-2016','Male and Female','76.2','514','490362'
'New York','Warren County','Lung and Bronchus','2012-2016','Male and Female','81.2','404','324399'
'New York','Niagara County','Lung and Bronchus','2012-2016','Male and Female','82.2','1204','1066830'
'New York','Herkimer County','Lung and Bronchus','2012-2016','Male and Female','80.1','356','316707'
'New York','Saratoga County','Lung and Bronchus','2012-2016','Male and Female','72.2','1033','1125877'
'New York','Rensselaer County','Lung and Bronchus','2012-2016','Male and Female','85.8','841','798840'
'New York','Livingston County','Lung and Bronchus','2012-2016','Male and Female','70.5','290','322901'
'New York','Tioga County','Lung and Bronchus','2012-2016','Male and Female','61.7','220','248313'
'New York','Putnam County','Lung and Bronchus','2012-2016','Male and Female','63.7','396','497721'
'New York','Suffolk County','Lung and Bronchus','2012-2016','Male and Female','66.0','6037','7494294'
'New York','Tompkins County','Lung and Bronchus','2012-2016','Male and Female','54.8','282','520340'
'New York','Monroe County','Lung and Bronchus','2012-2016','Male and Female','62.2','2853','3744283'
'New York','Nassau County','Lung and Bronchus','2012-2016','Male and Female','54.1','4782','6797963'
'New York','St. Lawrence County','Lung and Bronchus','2012-2016','Male and Female','70.7','487','556904'
'New York','Dutchess County','Lung and Bronchus','2012-2016','Male and Female','60.7','1147','1480279'
'New York','Schuyler County','Lung and Bronchus','2012-2016','Male and Female','77.7','106','91045'
'New York','Orleans County','Lung and Bronchus','2012-2016','Male and Female','83.7','226','209327'
'New York','Seneca County','Lung and Bronchus','2012-2016','Male and Female','81.7','196','175065'
'New York','Madison County','Lung and Bronchus','2012-2016','Male and Female','76.7','361','360262'
'New York','Fulton County','Lung and Bronchus','2012-2016','Male and Female','87.7','334','270769'
'New York','Greene County','Lung and Bronchus','2012-2016','Male and Female','82.2','301','240088'
'New York','Hamilton County','Lung and Bronchus','2012-2016','Male and Female','88.9','41','23545'
'New York','Jefferson County','Lung and Bronchus','2012-2016','Male and Female','92.1','522','590097'
'New York','Essex County','Lung and Bronchus','2012-2016','Male and Female','72.3','224','192095'
'New York','Genesee County','Lung and Bronchus','2012-2016','Male and Female','73.6','294','294446'
'New York','Franklin County','Lung and Bronchus','2012-2016','Male and Female','77.7','239','255963'
'New York','Montgomery County','Lung and Bronchus','2012-2016','Male and Female','75.8','259','248072'
'New York','Erie County','Lung and Bronchus','2012-2016','Male and Female','74.3','4497','4615380'
'New York','Oswego County','Lung and Bronchus','2012-2016','Male and Female','95.4','694','602158'
'New York','Oneida County','Lung and Bronchus','2012-2016','Male and Female','75.3','1177','1164262'
'New York','Orange County','Lung and Bronchus','2012-2016','Male and Female','65.5','1275','1882827'
'New York','Onondaga County','Lung and Bronchus','2012-2016','Male and Female','75.0','2174','2340592'
'New York','Schenectady County','Lung and Bronchus','2012-2016','Male and Female','68.9','684','775797'
'New York','Schoharie County','Lung and Bronchus','2012-2016','Male and Female','66.8','157','158699'
'New York','Ontario County','Lung and Bronchus','2012-2016','Male and Female','71.0','537','546185'
'New York','Clinton County','Lung and Bronchus','2012-2016','Male and Female','91.3','455','406883'
'New York','Delaware County','Lung and Bronchus','2012-2016','Male and Female','69.5','261','231970'
'New York','Chautauqua County','Lung and Bronchus','2012-2016','Male and Female','68.0','622','658515'
'New York','Cortland County','Lung and Bronchus','2012-2016','Male and Female','81.8','234','242906'
'New York','Cayuga County','Lung and Bronchus','2012-2016','Male and Female','87.0','460','393507'
'New York','Columbia County','Lung and Bronchus','2012-2016','Male and Female','74.6','366','309275'
'New York','Chemung County','Lung and Bronchus','2012-2016','Male and Female','73.9','434','438055'
